Frequency
302
291
306
293
270
323
322
315
0
0
292
300
0
287
294
324
329
347
307
1
0
323
304
285
316
330
0
314
295
316
0
282
308
316
300
311
299
303
357
0
0
1
1
1
0
0
310
320
0
326
320
314
304
290
305
332
310
323
316
279
305
303
310
0
0
305
329
362
339
343
315
300
295
0
294
338
1
320
360
308
333
311
312
1
1
1
0
0
0
0
0
0
0
